id;mfrt_agent_id;name
1;1;Aditya Birla Sun Life
2;1;DSP BlackRock
3;1;HDFC
4;1;HSBC
5;1;ICICI Prudential
6;1;IDFC
7;1;IIFL
8;1;Kotak
9;1;L&T
10;1;Mahindra
11;1;PPFAS
12;1;SBI
13;1;TATA
14;1;Union
15;2;Axis
16;2;Baroda Pioneer
17;2;BOI AXA
18;2;Canara Robeco
19;2;Edelweiss
20;2;IDBI
21;2;Indiabulls
22;2;Invesco
23;2;JM Financial
24;2;LIC
25;2;Mirae Asset
26;2;Motilal Oswal
27;2;Peerless
28;2;Pramerica
29;2;Principal
30;2;Quantum
31;2;Taurus
32;3;Franklin Templeton
33;4;Deutsche
34;5;Sundaram
35;5;BNP Paribas